ts,inst,lado,entrada,salida,motivo,R,usd,equity
2026-04-22 02:30:00-04:00,MNQ,short,26666.52,26680.29,stop,-1.0,-247.88,52686.05
2026-04-22 05:10:00-04:00,MNQ,short,26691.94,26695.74,stop,-1.0,-151.78,52534.27
2026-04-23 04:35:00-04:00,MNQ,short,26836.1,26806.89,target,1.95,467.42,53001.69
2026-04-23 10:10:00-04:00,MNQ,long,26877.96,26848.88,stop,-1.0,-232.64,52769.06
2026-04-23 13:05:00-04:00,MNQ,long,26935.13,26841.03,stop,-1.0,-188.2,52580.86
2026-04-24 04:15:00-04:00,MNQ,long,26943.9,26972.61,target,1.949,516.74,53097.59
2026-04-24 06:10:00-04:00,MNQ,long,26960.94,26996.7,target,1.959,500.63,53598.23
2026-04-28 04:25:00-04:00,MNQ,short,27201.51,27218.29,stop,-1.0,-268.6,53329.63
2026-04-28 05:20:00-04:00,MNQ,long,27213.87,27196.04,stop,-1.0,-249.57,53080.05
2026-04-28 05:25:00-04:00,MNQ,long,27190.09,27185.08,stop,-1.0,-200.64,52879.41
2026-04-29 03:50:00-04:00,MNQ,short,27153.83,27091.82,target,1.976,496.11,53375.53
2026-04-29 04:05:00-04:00,MNQ,short,27111.05,27083.31,target,1.947,499.37,53874.89
2026-04-29 08:30:00-04:00,MNQ,long,27117.53,27072.86,stop,-1.0,-268.04,53606.85
2026-04-29 11:10:00-04:00,MNQ,long,27147.62,27114.37,stop,-1.0,-266.04,53340.81
2026-04-30 07:10:00-04:00,MNQ,long,27222.75,27285.34,target,1.976,500.7,53841.51
2026-04-30 10:50:00-04:00,MNQ,short,27139.94,27210.35,stop,-1.0,-140.81,53700.7
2026-05-01 03:10:00-04:00,MNQ,short,27481.05,27485.6,stop,-1.0,-181.98,53518.72
2026-05-01 03:15:00-04:00,MNQ,short,27490.59,27492.84,stop,-1.0,-90.0,53428.72
2026-05-01 05:00:00-04:00,MNQ,short,27473.76,27425.97,target,1.969,477.91,53906.63
2026-05-01 12:10:00-04:00,MNQ,long,27718.45,27722.2,target,1.666,149.94,54056.57
2026-05-04 03:50:00-04:00,MNQ,long,27812.46,27803.56,stop,-1.0,-267.09,53789.48
2026-05-04 04:00:00-04:00,MNQ,long,27801.71,27773.56,stop,-1.0,-225.18,53564.31
2026-05-04 11:00:00-04:00,MNQ,long,27798.65,27796.4,stop,-1.0,-90.0,53474.31
2026-05-05 04:10:00-04:00,MNQ,short,27776.59,27810.42,stop,-1.0,-203.04,53271.27
2026-05-05 13:25:00-04:00,MNQ,short,28008.14,28020.58,stop,-1.0,-248.84,53022.43
2026-05-06 04:50:00-04:00,MNQ,short,28227.48,28250.39,stop,-1.0,-229.08,52793.35
2026-05-07 02:30:00-04:00,MNQ,short,28595.79,28604.15,stop,-1.0,-267.58,52525.77
2026-05-07 09:45:00-04:00,MNQ,long,28629.37,28608.28,stop,-1.0,-253.1,52272.67
2026-05-08 15:50:00-04:00,MNQ,long,29046.04,29217.53,target,1.991,342.97,52615.64
2026-05-11 03:15:00-04:00,MNQ,short,29215.54,29183.13,target,1.955,518.56,53134.2
2026-05-11 05:20:00-04:00,MNQ,short,29189.38,29222.58,stop,-1.0,-265.57,52868.63
2026-05-11 10:10:00-04:00,MNQ,long,29212.42,29288.37,target,1.98,455.67,53324.3
2026-05-12 10:30:00-04:00,MNQ,short,29063.69,28954.3,target,1.986,437.56,53761.86
2026-05-13 10:35:00-04:00,MNQ,short,29166.33,29162.58,target,1.666,149.9,53911.76
2026-05-13 11:40:00-04:00,MNQ,long,29183.2,29245.48,target,1.976,498.23,54409.99
2026-05-13 12:20:00-04:00,MNQ,long,29225.44,29314.06,target,1.983,531.69,54941.69
2026-05-14 04:15:00-04:00,MNQ,short,29484.52,29501.9,stop,-1.0,-278.02,54663.67
2026-05-14 06:40:00-04:00,MNQ,short,29459.32,29424.17,target,1.958,492.16,55155.83
2026-05-14 10:15:00-04:00,MNQ,long,29456.4,29503.04,target,1.968,466.38,55622.21
2026-05-15 03:00:00-04:00,MNQ,long,29280.91,29284.66,target,1.665,149.84,55772.05
2026-05-15 11:00:00-04:00,MNQ,long,29219.55,29174.72,stop,-1.0,-268.96,55503.09
2026-05-15 12:20:00-04:00,MNQ,short,29172.98,29215.57,stop,-1.0,-255.56,55247.53
2026-05-18 04:05:00-04:00,MNQ,long,28973.49,29079.39,target,1.986,423.59,55671.12
2026-05-18 10:30:00-04:00,MNQ,short,29125.94,29005.83,target,1.988,480.44,56151.56
